作品id,作品名,人物id,名字,朝代,时期,国家,文体,写作时间,创作背景,内容简介,相关作品,相关人物,相关地点,相关事件,诗歌全文,sentiment1,sentiment2
3817,《金陵驿》,783,文天祥,宋,南宋,,七言律诗,1279年3月,诗人兵败被俘，押解前往燕京。,诉说亡国之痛、殉国之志。,,文天祥,,,草合离宫转夕晖，孤云飘泊复何依？山河风景元无异，城郭人民半已非。满地芦花和我老，旧家燕子傍谁飞？从今别却江南路，化作啼鹃带血归。,思,悲
3597,《应王中丞思远咏月》,60,沈约,南朝,南朝,,五言古体诗,,,这是首描写才子佳人暨洞房的诗。诗人从“月光”的角度切入主题，以至深夜月光入洞房，照到“网轩”（类似夏日蚊帐）和花花绿绿的铺盖（“绿苔”）上；初婚者一夜未觉，任凭月光悠然而去。这首情诗的第二句，却完全是物理现象的真实写照：月光从门户而入，光亮如门一样大；月光从孔隙中来，光亮是圆的。诗作者如实地记下了小孔成像的物理实验的结果，但他未必做过这类实验。,,,西园,,"月华临静夜。
夜静灭氛埃。
方晖竟户入。
圆影隙中来。
高楼切思妇。
西园游上才。
网轩映珠缀。
应门别录苔。
洞房殊未晓。
清光信悠哉。",思,乐
3498,《西洲曲》,0,南朝乐府民歌,南朝,南朝,,乐府诗,,,全诗以第一人称，自述恋爱中的女子对心上人的苦恋。,《玉台新咏》,,,,"忆梅下西洲，折梅寄江北。
单衫杏子红，双鬓鸦雏色。
西洲在何处？两桨桥头渡。
日暮伯劳飞，风吹乌桕树。
树下即门前，门中露翠钿。
开门郎不至，出门采红莲。
采莲南塘秋，莲花过人头。
低头弄莲子，莲子清如水。
置莲怀袖中，莲心彻底红。
忆郎郎不至，仰首望飞鸿。
鸿飞满西洲，望郎上青楼。
楼高望不见，尽日栏杆头。
栏杆十二曲，垂手明如玉。
卷帘天自高，海水摇空绿。
海水梦悠悠，君愁我亦愁。
南风知我意，吹梦到西洲。",思,悲
3133,《孝陵图（有序）》,351,顾炎武,明,明,,五言古体诗,,,,,,,,"钟山白草枯，冬月蒸宿雾。
十里无立椔，冈阜但回互。
宝城独青青，日色上霜露。
殿门达明楼，周遭尚完固。
其外有穹碑，巍然当御路。
文自成祖为，千年系明祚。
侍卫八石人，祗肃候灵辂。
下列石兽六，森然象卤簿。
自马至狮子，两两相比附。
中间特崒嵂，有二擎天柱。
排立榛莽中，凡此皆尚具。
又有神烈山，世宗所封树。
卧碑自崇祯，禁约烦圣谕。
石大故不毁，文字犹可句。
至于土木工，俱已亡其素。
东陵在殿左，先时懿文祔。
云有?二层，去门可百步。
正殿门有五，天子升自阼。
门内庑三十，左右以次布。
门外设两厨，右殿上所驻。
祠署并宫监，羊房暨酒库。
以至各廨宇，并及诸宅务。
东西二红门，四十五巡铺。
一一费搜寻，涉目仍迷瞀。
山后更萧条，兵牧所屯聚。
洞然见铭石，崩出常王墓。
何代无厄菑，神圣莫能度。
幸兹寝园存，皇天永呵护。
奄人宿其中，无乃致亵污。
陵卫多官军，残毁法不捕。
伐木复撤亭，上触天地怒。
雷震樵夫死，梁压陵贼仆。
乃信高庙灵，却立生畏怖。
若夫本卫官，衣食久遗蠹。
及今尽流冗，存两千百户。
下国有虮臣，一年再奔赴。
低徊持寸管，能作西京赋。
尚虑耳目褊，流传有错误。
相逢虞子大，独记陵木数。
未得对东巡，空山论掌故。",乐,思
914,《青溪》,733,马光祖,宋,南宋,,七言律诗,,在建康任职期间，马光祖也创作了不少有关建康的文学作品。,诗人面对昔日繁华盛景的消亡虽有惆怅之意，但是却能在登阁览山、泛舟畅饮中放达情怀，尽享闲适之乐。,,,南京青溪,,"人道青溪有九曲，如今一曲仅能存。
江家宅畔成花圃，东府门前作菜园。
登阁自堪观叠嶂，汎舟犹可醉芳樽。
料应当日皆无恙，苕霅潇湘不足言",思,乐
170,《玩月城西门廨中》,2,鲍照,南朝,刘宋,,五言古体诗,,宋孝武帝孝建年间（454～456年），鲍照在秣陵县任县令。秋日作者于城西门官署中赏月，美丽的月色令作者联想到自己飘泊不定的仕官生活，于是对这种生活产生了厌倦情绪。作者为抒发情感于是创作了这首诗。,,,,,,始出西南楼，纤纤如玉钩。末映东北墀，娟娟似蛾眉。蛾眉蔽珠栊，玉钩隔琐窗。三五二八时，千里与君同。夜移衡汉落，徘徊帷户中。归华先委露，别叶早辞风。客游厌苦辛，仕子倦飘尘。休澣自公日，宴慰及私辰。蜀琴抽白雪，郢曲发阳春。肴干酒未阕，金壶启夕沦。回轩驻轻盖，留酌待情人。,思,乐
270,《拟古诗》,100,萧长懋,南朝,刘宋;齐,,七言古体诗,,,,,,,,磊磊落落玉山崩。,喜,悲
2438,《自嘲》,608,袁枚,清,清,,五言律诗,,,,,,,,苦被诗书管，常惊日影过。印贪三面刻，墨惯两头磨。学老先扶杖，辞官早畏靴。宾朋名屡忘，偏记古人多。,思,忧
225,《五君咏》,129,颜延之,南朝,刘宋,,五言古体诗,宋文帝元嘉初年,当时颜延之深受宋文帝赏遇，征为中书侍郎，寻转太子中庶子，又领步兵校尉。但颜延之好酒疏诞，不能斟酌当世，见刘湛、殷景仁专当要任，意有不平，乃以激扬之言刺之，因构嫌隙。刘乃言于彭城王刘义康，使颜延之出为永嘉太守。颜延之非常怨愤，乃作《五君咏》，借古人抒发心中的不平。,“五君”者，取之魏晋之际的“竹林七贤”。颜延之认为山涛、王戎终以贵显，故黜而不咏。诗中咏嵇康曰：“鸾翮有时铩，龙性谁能驯”，咏阮籍曰“物故不可论，涂穷能无恸”，咏阮咸曰“屡荐不入官，一麾乃出守”，咏刘伶曰“韬精日沉饮，谁知非荒宴”。沈约说：“此四句，盖（颜延之）自序也。”（《宋书·颜延之传》）颜诗铺锦列绣，雕缋满眼，以凝炼规整为一贯风格。《五君咏》则一反常态，借古人之酒杯，浇胸中之块垒，故能清朗率直，体现出诗人正直放达的真性格。,《文选》,,,,"【阮步兵】
阮公虽沦迹，识密鉴亦洞。
沈醉似埋照，寓辞类托讽。
长啸若怀人，越礼自惊众。
物故不可论，途穷能无恸。
【嵇中散】
中散不偶世，本自餐霞人。
形解验默仙，吐论知凝神。
立俗迕流议，寻山洽隐沦。
鸾翮有时铩，龙性谁能驯。
【阮始平】
仲容青云器，实禀生民秀。
达音何用深，识微在金奏。
郭奕已心醉，山公非虚觏。
屡荐不入官，一麾乃出守。
【刘参军】
刘伶善闭关，怀清灭闻见。
鼓钟不足欢，荣色岂能眩。
韬精日沉饮，谁知非荒宴。
颂酒虽短章，深衷自此见。
【向常侍】
向秀甘淡薄，深心托毫素。
探道好渊玄，观书鄙章句。
交吕既鸿轩，攀嵇亦凤举。
流连河里游，恻怆山阳赋。",思,悲
327,《陇头水》,39,刘孝威,南朝,梁,,五言古体诗,,,塑造一位戍边军人的形象，抒发了悲壮昂扬的豪放之情。,,,,,从军戍陇头，陇水带沙流。时观胡骑饮，常为汉国羞。衅妻成两剑，杀子祀双钩。顿取楼兰颈，就解郅支裘。勿令如李广，功遂不封侯。,怒,悲
498,《陇头水》,122,徐陵,南朝,梁;陈,,五言古体诗,,,《陇头水》是徐陵的边塞诗，主要描写了六盘山的险峻崎岖与征人的思乡之情。,,,,,"别涂耸千仞，离川悬百丈。
攒荆夏不通，积雪冬难上。
枝交陇底暗，石碍波前响。
回首咸阳中，唯言梦时往。",思,乐
3805,《乌龙潭夜坐》,621,魏源,清,清,,五言律诗,1833年初秋时节,诗人纳凉时有感而作。,描写乌龙潭夜坐时的情景。,,,乌龙潭,,林阴横满地，夜影忽过墙。忘却月已转，翻疑树易长。积雨有馀气，老荷终日香。空林如积水，清夜意难忘。,思,悲
3814,《谢公墅歌》,782,温庭筠,唐,唐,,七言古体诗,,,歌颂谢安临危不惧为保护国家安全所做出的重大贡献。,,谢安,谢公墅,肥水之战,朱雀航南绕香陌，谢郎东墅连春碧。鸠眠高柳日方融，绮榭飘飖紫庭客。文楸方罫花参差，心阵未成星满池。四座无喧梧竹静，金蝉玉柄俱持颐。对局含情见千里，都城已得长蛇尾。江南王气系疏襟，未许苻坚过淮水。,乐,思
1092,《山居》,197,胡正言,明,明中;明末,,五言律诗,,,描写山居生活。,,,,,溪云如有意，依我旧柴门。流水不解事，潺湲过别村。摊书时自得，隐几更何言。新酿谁同酌，青山立短垣。,思,乐
3443,《赠画师》,2751,鲁迅,现当代,现当代,,七言律绝,这首诗作于1933年1月26日,这首诗是书赠日本画家望月玉成的。这位画家为搜寻作画题材，远道而来。鲁迅当时一方面目睹日军不断的侵略，而国民政府不断的军事、文化“围剿”，中国满目疮痍，焦土千里的景象，使他感到悲愤；另一方面又对中国抗战胜利充满信心；有感于此创作了此诗。,这首诗的前两句，作者用象征的手法描写了由来自当时民国首都南京的各项政策所造成的国危时乱、民生凋敝的时局。后两句是希望画家有新的艺术创见，以用来描画明媚秀丽的中国山水，使能得见光明灿烂的前途的中国。,《鲁迅全集》,望月玉成,,1930年中国左翼作家联盟在上海成立、1931年“九一八”以后日本侵占东三省,风生白下千林暗，雾塞苍天百卉殚。愿乞画家新意匠，只研朱墨画春山。,思,喜
223,《秋胡诗》,129,颜延之,南朝,刘宋,,五言古体诗,,春秋时候，鲁国男子秋胡，娶妻五日，即往陈国为官，五年乃归。将到家，见采桑美妇，下车赠金挑之，被斥而去。还家见妻，即前所逢者，妻因而羞愤投河自尽——这，就是有名的“秋胡戏妻”故事，它最早载于西汉刘向的《列女传》，后世诗人吟咏之不绝，《秋胡行》遂成为乐府《相和歌辞·清调曲》的诗题。,全诗凡九章，章十句，分别用秋胡及其妻（《列女传》中呼为“洁妇”）的口吻作叙述。,,,,,"椅梧倾高凤，寒谷待鸣律。影响岂不怀？自远每相匹。婉彼幽闲女，作嫔君子室。峻节贯秋霜，明艳侔朝日。嘉运既我从，欣愿自此毕。
燕居未及好，良人顾有违。脱巾千里外，结绶登王畿。戒徒在昧旦，左右来相依。驱车出郊郭，行路正威迟。存为久离别，没为长不归。
嗟余怨行役，三陟穷晨暮。严驾越风寒，解鞍犯霜露。原隰多悲凉，回飙卷高树。离兽起荒蹊，惊鸟纵横去。悲哉游宦子，劳此山川路。
超遥行人远，宛转年运徂。良时为此别，日月方向除。孰知寒暑积，僶俛见荣枯！岁暮临空房，凉风起坐隅。寝兴日已寒，白露生庭芜。
勤役从归愿，反路遵山河。昔辞秋未素，今也岁载华。蚕月观时暇，桑野多经过。佳人从所务，窈窕援高柯。倾城谁不顾，弭节停中阿。
年往诚思劳，事远阔音形。虽为五载别，相与昧平生。舍车遵往路，凫藻驰目成。南金岂不重？聊自意所轻。义心多苦调，密比金玉声。
高节难久淹，朅来空复辞。迟迟前途尽，依依造门基。上堂拜嘉庆，入室问何之。日暮行采归，物色桑榆时。美人望昏至，惭叹前相持。
有怀谁能已？聊用申苦难。离居殊年载，一别阻河关。春来无时豫，秋至恒早寒。明发动愁心，闺中起长叹。惨凄岁方晏，日落游子颜。
高张生绝弦，声急由调起。自昔枉光尘，结言固终始。如何久为别，百行諐诸己。君子失明义，谁与偕没齿！愧彼《行露》诗，甘之长川汜。",悲,思
1681,《登报恩寺浮图》,294,爱新觉罗·玄烨,清,清初;清中,,五言律诗,,,,,,,,涌地千寻起，摩霄九级悬。琉璃垂法相，翡翠结香烟。缔造人功巧，流传世代迁。旷然弥远望，万象拱诸天。,乐,喜
2270,《登报恩寺浮图》,456,王又曾,清,清,,杂言诗,,,,,,报恩寺,,人天八万四千塔，谁其造者阿育王。江南经始康僧会，舍利爪发传萧梁。永乐制九级，海藏同辉光。天风扶我一登眺，长干万户连千樯。岷峨之脉气葱郁，四面屏障森堵墙。大江一线逝东北，前淮后湖环阴阳。虎龙蟠踞虽得地，英雄割裂无完疆。岂若隋唐大一统，直以弹丸当荆扬。如来涅槃矧千劫，灵物薶瘗诚荒唐。黄旗紫盖俱已矣，空余金地供翱翔。安得神僧捧刹入云去，无令承平士女悲沧桑!,悲,忧
1680,《金陵旧紫禁城怀古》,294,爱新觉罗·玄烨,清,清初;清中,,七言律诗,康熙三十八年（1699）,,,,,,,秣陵旧是图王地，此日鸾旗列队过。一代规模成往迹，千秋兴废逐流波。宫墙断缺迷青琐，野水湾环剩玉河。治理艰勤重殷鉴，斜阳衰草系情多。,乐,思
2313,《滁州旅思》,607,吴敬梓,清,清,,七言律诗,,,,,,滁州,,晓望诸峰翠色新，雨馀芳草碧如茵。春光已过湔裙节，胜地浑无蜡屐人。旅病那堪花入梦，暮寒不厌酒沾唇。遥思二月秦淮柳，蘸露拖烟委曲尘。,思,乐
2966,《宿王昌龄隐居》,646,常建,唐,唐,,五言律诗,公元前727年,常建和王昌龄是唐玄宗开元十五年（727）同科进士及第的宦友和好友。但在出仕后的经历和归宿却不大相同。常建“沦于一尉”，只做过盱眙（今属江苏）县尉，此后便辞官归隐于武昌樊山，即西山。王昌龄虽然仕途坎坷，却并未退隐。此诗即作于常建辞官归隐途经王昌龄入仕前的居所。王昌龄及第时大约已有三十七岁，此前，他曾隐居石门山，山在今安徽省含山县境内，即诗中所说“清溪”所在。常建任职的盱眙，与石门山分处淮河南北。常建辞官西返武昌樊山，大概渡淮绕道不远，就近到石门山一游，并在王昌龄隐居处住了一夜。他夜宿故人旧时隐居之处，触景生情，遂作此篇。,此诗通过对诗人王昌龄隐居处自然环境的细致描绘，赞颂了王昌龄的清高品格和隐居生活的高尚情趣。开头两句写王昌龄隐居之所在乃隐居佳境，别有洞天；中间四句写夜宿此地之后，顿生常住之情，即景生情，一目了然；最后两句写自己的归志，决心跃然。全诗描述平实，意味含蓄，在平易的写景中蕴含着比兴寄喻，意在言外，发人深思。,《常建集》,王昌龄,,,"清溪深不测，隐处唯孤云。
松际露微月，清光犹为君。
茅亭宿花影，药院滋苔纹。
余亦谢时去，西山鸾鹤群。",思,乐
3850,《秣陵口号》,244,吴伟业,明,明,,七言律诗,此诗创作于清顺治十年（1653）四月,当时诗人北上路过南京，见这座前朝古都眼前一片荒凉，昔日的繁华景象已荡然无存，由此而兴起家国兴亡的感慨，于是写下这首诗。,此诗前四句跃过时间和空间的距离，先写南京往日之繁华，再转写如今那种繁盛已荡然无存，呈现在眼前的是一片荒芜凄凉的景象；后四句写故都帝王宫殿及明孝陵的荒废，诗人紧紧抓住能够反映江山易主的典型事物以抒写情怀，把长期以来在胸中激荡着的沧桑之感倾泻在诗中，抒发了对明朝灭亡的无限伤痛之情。.全诗构思精巧，想象丰富，委婉含蓄，凝练深沉。.,,,南京,,"车马垂杨十字街，河桥灯火旧秦淮。
放衙非复通侯第，废圃谁知博士斋。
易饼市傍王殿瓦，换鱼江上孝陵柴。
无端射取原头鹿，收得长生苑内牌。",乐,思
406,《蜀道难》,94,萧纲,南朝,梁,,五言古体诗,,,萧纲的《蜀道难》写了巫山一带的险峻地势，诗歌短小而凝练。,,,,,"【其一】
建平督邮道，鱼复永安宫。
若奏巴渝曲，时当君思中。
【其二】
巫山七百里，巴水三回曲。
笛声下复高，猿啼万花谷。",思,乐
2999,《诸葛武侯驻马坡》,309,陈文述,清,清,,七言律诗,,,,,诸葛亮,驻马坡,,石头城上翠孱颜，虎踞龙盘在此间。形胜旧传三国志，风云长护六朝山。登高感慨谁知己，揽辔澄清亦等闲。天遣艰难走西蜀，峨嵋万里隔秦关。,乐,思
194,《白纻曲》,36,刘铄,南朝,刘宋,,七言古体诗,,,,,,,,仙仙徐动何盈盈，玉腕俱凝若云行。佳人举袖耀青蛾，掺掺擢手映鲜罗。状似明月泛云河，体如轻风动流波。,喜,忧
3170,《轻薄篇》,19,何逊,晋,晋,,五言古体诗,,,,《周礼》,,长安,,"城东美少年，重身轻万亿。
柘弹隋珠丸，白马黄金饰。
长安九逵上，青槐廕道植。
毂击晨已喧，肩排暝不息。
走狗通西望，牵牛向南直。
相期百戏傍，去来三市侧。
象床沓绣被，玉盘传绮食。
大姊掩扇歌，小妹开帘织。
相看独隐笑，见人还敛色。
黄鹤悲故群，山枝咏新识。
乌飞过客尽，雀聚行龙匿。
酌羽方厌厌，此时欢未极。",忧,悲
3743,《留别岑参兄弟》,770,王昌龄,唐,唐,,五言古体诗,740年,诗人迁江宁丞，离开长安时写下了这首别友诗。,表达了对友人的离别之情以及乐观通达、积极进取的人生态度。,,岑参,江宁、长安,,江城建业楼，山尽沧海头。副职守兹县，东南棹孤舟。长安故人宅，秣马经前秋。便以风雪暮，还为纵饮留。貂蝉七叶贵，鸿鹄万里游。何必念钟鼎，所在烹肥牛。为君啸一曲，且莫弹箜篌。徒见枯者艳，谁言直如钩。岑家双琼树，腾光难为俦。谁言青门悲，俯期吴山幽。日西石门峤，月吐金陵洲。追随探灵怪，岂不骄王侯。,思,乐
614,《新林浦阻风寄友人》,695,李白,唐,唐,,五言古体诗,,,,,谢脁,新林浦,,潮水定可信，天风难与期。清晨西北转，薄暮东南吹。以此难挂席，佳期益相思。海月破圆影，菰蒋生绿池。昨日北湖梅，开花已满枝。今朝东门柳，夹道垂青丝。岁物忽如此，我来定几时。纷纷江上雪，草草客中悲。明发新林浦，空吟谢朓诗。,思,悲
3198,《梦江南》,688,皇甫松,唐,唐,,词,,,,,,秣陵,,楼上寝，残月下帘旌。梦见秣陵惆怅事，桃花柳絮满江城，双髻坐吹笙。,思,悲
3495,《梦江南》,415,纳兰性德,清,清,,词,,,,,,,,江南好，建业旧长安。紫盖忽临双鹢渡，翠华争拥六龙看。雄丽却高寒。,乐,喜
3275,《金陵歌送别范宣》,695,李白,唐,唐,,七言古体诗,,这首诗作于天宝中游金陵时。此诗咏古伤今，慨叹金陵形势虽虎踞龙盘，但历代帝王却如走马灯似的轮换，可见江山之固在人事而不在天险耳。此诗似有警告当政者不可学陈后主荒淫逞国之意。,,,,石头、钟山、历阳,,石头巉岩如虎踞，凌波欲过沧江去。钟山龙盘走势来，秀色横分历阳树。四十馀帝三百秋，功名事迹随东流。白马金鞍谁家子，吹唇虎啸凤凰楼。金陵昔时何壮哉！席卷英豪天下来。冠盖散为烟雾尽，金舆玉座成寒灰。扣剑悲吟空咄嗟，梁陈白骨乱如麻。天子龙沉景阳井，谁歌玉树后庭花。此地伤心不能道，目下离离长春草。送尔长江万里心，他年来访南山老。,悲,思
3557,《钟山晓行》,750,萨都剌,元,元,,五言律诗,1332年,萨都刺曾在元文宗至顺三年（1332）调任江南诸道行御史台掾史，移居金陵（今南京市），本词大约作于此时。,多种角度描写钟山景色，赋予自然景观以历史文化的涵义。,,元文宗,钟山,,"楼阁龙云气，苍茫第几峰。
长风万松雨，落月半山钟。
石磴盘空险，僧廊落叶重。
吾皇曾驻跸，千古说蟠龙。",乐,思
621,《金陵望汉江》,695,李白,唐,唐,,五言排律,,,,,,金陵,,汉江回万里，派作九龙盘。横溃豁中国，崔嵬飞迅湍。六帝沦亡后，三吴不足观。我君混区宇，垂拱众流安。今日任公子，沧浪罢钓竿。,忧,思
631,《示金陵子》,695,李白,唐,唐,,七言古体诗,,,,,谢安,,,金陵城东谁家窗里。落花一片天上来，随人直渡西江水。楚歌吴语娇不成，似能未能最有情。谢公正要东山妓，携手林泉处处行。,思,忧
3273,《金陵白杨十字巷》,695,李白,唐,唐,,五言律诗,,,,,,,,白杨十字巷，北夹湖沟道。不见吴时人，空生唐年草。天地有反覆，宫城尽倾倒。六帝馀古丘，樵苏泣遗老。,乐,思
3276,《金陵江上遇蓬池隐者》,695,李白,唐,唐,,五言古体诗,,,,,,,,心爱名山游，身随名山远。罗浮麻姑台，此去或未返。遇君蓬池隐，就我石上饭。空言不成欢，强笑惜日晚。绿水向雁门，黄云蔽龙山。叹息两客鸟，裴回吴越间。共语一执手，留连夜将久。解我紫绮裘，且换金陵酒。酒来笑复歌，兴酣乐事多。水影弄月色，清光奈愁何。明晨挂帆席，离恨满沧波。,思,悲
3280,《金陵听韩侍御吹笛》,695,李白,唐,唐,,五言律诗,,,韩侍御吹起了玉笛，风流倜傥，笛声飞响流韵。风吹着优美的乐曲声围绕钟山，山壑顿时响起龙吟般的声音。如果周朝的王子犹听到这笛声也一定会停奏他心爱的笙管，曾经教孔子音乐的师襄听了，也肯定要停奏他心爱的瑶琴。这悠扬的笛声踏浪渡江去了，飘扬到天涯海角，无处可寻。,,韩侍御,,,韩公吹玉笛，倜傥流英音。风吹绕钟山，万壑皆龙吟。王子停凤管，师襄掩瑶琴。馀韵度江去，天涯安可寻。,思,忧
3291,《赠昇州王使君忠臣》,695,李白,唐,唐,,五言律诗,,,,,侯嬴,昇州,,六代帝王国，三吴佳丽城。贤人当重寄，天子借高名。巨海一边静，长江万里清。应须救赵策，未肯弃侯嬴。,忧,乐
113,《大道曲》,114,谢尚,东晋,东晋,,五言古体诗,,,,,,,,"青阳二三月，柳青桃复红。
车马不相识，音落黄埃中。",思,乐
3112,《咏舞》,0,庚信,晋,晋,,五言古体诗,,,,,,,,"洞房花烛明。
燕余双舞轻。
顿履随疎节。
低鬟逐上声。
步转行初进。
衫飘曲未成。
鸾回镜欲满。
鹤顾市应倾。
已曾天上学。
讵是世中生。",思,乐
323,《归沐诗》,38,刘孝绰,南朝,梁,,五言古体诗,,天监初，起家著作佐郎，作《归沐诗》呈任昉。,,《答刘孝绰诗》,任昉,,,步出金华省，还望承明庐。壮哉宛洛地，佳丽实皇居。虹霓拖飞阁，兰芷覆清渠。圆渊倒荷芰，方镜写簪裾。白云夏峰尽，青槐秋叶疏。自我从人爵，蟾兔屡盈虚。杀青徒已汗，司举未云书。文昌愧通籍，临邛幸第如。夫君多敬爱，蟠木滥吹嘘。时时释簿领，驺驾入吾庐。自唾诚?玞，无以俪璠玙。但愿长闲暇，酌醴荐焚鱼。,乐,思
3598,《应诏乐游苑饯吕僧珍》,60,沈约,南朝,南朝,,五言古体诗,,,,,吕僧珍,,,"丹浦非乐战，负重切君临。
我皇秉至德，忘己用尧心。
愍兹区宇内，鱼鸟失飞沈。
推毂二崤岨，扬旆九河阴。
超乘尽三属，选士皆百金。
戎车出细柳，饯席樽上林。
命师诛后服，授律缓前禽。
函轘方解带，峣武稍披襟。
伐罪芒山曲，吊民伊水浔。
将陪告成礼，待此未抽簪。",忧,思
3863,《故宫行》,247,夏完淳,明,明,,七言古体诗,1645年,南京沦陷。,全诗可分三大段落。第一段写南都覆没，江山变异，令人伤怀。在这些诗句中诗人选用极富繁华色彩的典型景物，竭力铺陈京都全盛时的气象，以与后文要着重抒写的劫后惨状作强烈对照。下面十六句，是全篇抒写的重点。,《登金陵凤凰台》,夏允彝,金陵,夏完淳游故宫,"朝登建康城，暮宿丹阳道。黄尘落日大江流，紫陌微寒故宫草。
故宫烟雨动新愁，华屋参差成古丘。当时罗绮三千户，何处莺花十二楼？
六代繁华如在眼，真龙不动河山转。春光缥缈景阳宫，月色徘徊芳乐苑。
细雨深宫花落迟，轻风合殿香飘远。花香十里到平康，莫愁歌舞冶游郎。
侠少尽骑青络马，交游争系紫罗囊。鸳鸯两两芙蓉沼，鹦鹉双双玳瑁梁。
一朝景物如反掌，富贵风流竟长往。玄武池边暮雨来，朱雀门前春草长。美女琵琶塞上行，绮构云连空复情。行人夜雨乌衣巷，归雁秋风白下城。登临千载空回首，陈井梁宫竟谁有！游鹿争衔上苑花，流莺自啭台城柳。台城下接孝陵西，无限枝头乌夜啼。杨花风起过江去，薄暮如烟满大堤。",思,乐
371,《杂曲》,86,王筠,南朝,梁,,乐府诗,,,描写春日美景。,,,,,可怜洛城东，芳树摇春风。丹霞映白日，细雨带轻虹。,思,乐
799,《望江南（多少恨）》,710,李煜,南唐,南唐,,词,,是五代十国时期南唐后主李煜亡国入宋被囚后创作的一首记梦词。,词人以词调名本意回忆江南旧游，抒写了梦中重温旧时游娱生活的欢乐和梦醒之后的悲恨，以梦中的乐景抒写现实生活中的哀情，表达对故国繁华的追恋，抒发亡国之痛。全词语白意真，直叙深情，一气呵成。,,,,,多少恨，昨夜梦魂中。还似旧时游上苑，车如流水马如龙。花月正春风。,悲,思
365,《咏舞诗》,74,王暕,南朝,梁,,五言古体诗,,,从急速的动态中传神刻画舞者的婀娜舞姿和独特风韵，音乐与舞蹈完美融合，轻盈飘举、宛然若仙的美好身影令人可触可见。,,,,,从风回绮袖，映日转花钿。同情依促柱，共影赴危弦。,思,悲
375,《白马篇》,78,王僧孺,南朝,梁,,乐府诗,,,吐露早年报国立功,,,,,千里生冀北，玉鞘黄金勒。散蹄去无己，摇头意相得。豪气发西山，雄风擅东国。飞鞚出秦陇，长驱绕岷僰。承谟若有神，禀算良不惑。瀄汨河水黄，参差嶂云黑。安能对儿女，垂帷弄毫墨。兼弱不称雄，后得方为特。此心亦何已，君恩良未塞。不许跨天山，何由报皇德。,悲,忧
1037,《蜀道易》,187,方孝孺,明,明初,,杂言诗,,方孝孺在蜀耳闻目睹蜀王治蜀的功绩，故而反李白《蜀道难》之意，袭陆畅《蜀道易》之名，“以述圣上及贤王之德”。,立意于“易”，极言蜀道之易，说是“夕往而朝还”，论证了“王道有通塞，蜀道无古今。至险不在山与水，只在国政并人心！”的观点。,《蜀道易》,朱椿、陆畅,,,"美矣哉，西蜀之道，何今易而昔难。陆有重岩峻岭万仞镵天之剑阁，水有砅雷掣电悬流怒吼之江关。
自昔相戒不敢至，胡为乎今人操舟抺马夕往而朝还。
大圣建皇极，王道坦坦如弦直。西有雕题金齿之夷，北有毡裘椎?之貊。
东南大海际天地，岛居洲聚千万国。莫不奉琛执?效朝贡，春秋使者来接迹。
何况川蜀处华夏，贤王于此开寿域。播以仁风，沾以义泽。
家和人裕，櫜兵敛革。豺狼变化作驺虞，蛇虺消藏同蜥蜴。
凿山焚荒秽，略水铲崖石。帆樯屝履任所往，宛若宇宙重开辟。
美哉蜀道之易有如此，四方行旅络绎来游西览德。
成都万室，比屋如云。桑麻蔽原野，鸡犬声相闻。文翁之化，孔明之仁。
严郑之节，杨马之文。遗风渐??比邹鲁，士行贤哲方回参。
方今况有贤圣君，大开学馆论典坟，坐令政化希华勋。
徵贤一诏到岩穴，咄尔四方之士孰不争先而骏奔。
王道有通塞，蜀道无古今。至险不在山与水，只在国政并人心。
六朝五季时，王路嗟陆沉。遂令三代民，尽为兽与禽。
当时岂惟蜀道难，八荒之内皆晦阴。戎夷杂寇盗，干戈密如林。
今逢天子圣，贤王之德世所钦。文教洽飞动，风俗无邪淫。
孱夫弱妇怀千金，悍吏熟视不敢侵。蜀道之易谅在此，咄尔四方来者不惮山高江水深。",忧,思
3935,《丹阳孟珠歌》,1,鲍令晖,南朝,南朝,,五言古体诗,,,,,,,,"阳春二三月。
草与水同色。
道逢游冶郎。
恨不早相识。",悲,思
1297,《秣陵竹枝词》,238,文震亨,明,明末,,七言律绝,,,借景抒情，采用竹枝词的民歌形式，显得语浅情深、自然流畅。,,,秣陵,,"一
璩床开印翠微间，朝请全稀退食便。
呵殿也堪成韵致，此中官府又神仙。 
二
尚食宫监往直庐，退闲丞相府中居。
貂珰一样中侍常，三日湖头打饭鱼。
三
同姓编氓异姓侯，上公出不辟行驺。
诸曹未识勋臣贵，每到朝陵压上头。 
四
秦淮冬尽不堪观，桃叶官舟阁浅滩。
一夜渡头春水到，家家重漆赤栏干。",乐,思
2132,《秣陵怀古》,415,纳兰性德,清,清,,七言律绝,,作者是清朝贵族，身份特殊，同时具有精深的眼光与思力。,这首怀古诗将秫陵与十二陵连在一起写，总结明王朝的兴衰之因，并以一种纯客观的态度评论历史。,,,,,山色江声共寂寥，十三陵树晚萧萧。中原事业如江左，芳草何须怨六朝。,思,悲
3324,《秣陵怀古》,705,李群玉,唐,唐,,七言律诗,,,,,,,,野花黄叶旧吴宫，六代豪华烛散风。龙虎势衰佳气歇，凤凰名在故台空。市朝迁变秋芜绿，坟冢高低落照红。霸业鼎图人去尽，独来惆怅水云中。,悲,乐
